device_id,gender,age,group
-8.07609E+18,M,35,M32-38
-2.89716E+18,M,35,M32-38
-8.26068E+18,M,35,M32-38
-4.93885E+18,M,30,M29-31
2.45134E+17,M,30,M29-31
-1.29707E+18,F,24,F24-26
2.36878E+17,M,36,M32-38
-8.09824E+18,M,38,M32-38
1.76515E+17,M,33,M32-38
1.59661E+18,F,36,F33-42
9.03216E+18,M,31,M29-31
7.47722E+18,F,37,F33-42
2.47821E+18,F,28,F27-28
6.35207E+18,M,32,M32-38
-7.60536E+18,M,48,M39+
1.50864E+18,F,28,F27-28
4.38087E+18,M,38,M32-38
-1.0397E+18,M,38,M32-38
-6.87654E+18,M,75,M39+
6.28794E+18,M,33,M32-38
-6.02968E+18,F,39,F33-42
8.0265E+18,M,25,M23-26
1.11897E+18,M,24,M23-26
-7.27132E+18,M,27,M27-28
-9.21697E+18,M,29,M29-31
-4.91364E+18,M,34,M32-38
2.31315E+18,M,34,M32-38
4.30947E+18,F,36,F33-42
-4.54734E+18,M,37,M32-38
-7.21627E+18,M,37,M32-38
-7.30329E+18,M,33,M32-38
7.63024E+18,M,35,M32-38
7.10692E+18,M,22,M22-
-5.82555E+18,M,31,M29-31
5.8864E+18,M,37,M32-38
3.44477E+18,M,36,M32-38
3.54966E+18,M,26,M23-26
-7.36065E+18,M,38,M32-38
-3.20765E+18,M,38,M32-38
-1.27988E+18,M,31,M29-31
3.01407E+18,M,28,M27-28
-2.87114E+18,M,22,M22-
-5.07018E+18,M,31,M29-31
-1.53998E+18,M,31,M29-31
-5.34934E+18,M,27,M27-28
-1.47287E+17,M,27,M27-28
-5.71215E+18,M,27,M27-28
-3.30532E+18,M,27,M27-28
-8.00851E+17,F,27,F27-28
6.87038E+18,M,29,M29-31
-1.1733E+18,F,34,F33-42
6.67739E+18,M,31,M29-31
1.86548E+18,M,31,M29-31
3.36917E+17,F,36,F33-42
6.70584E+17,F,36,F33-42
5.8745E+18,M,38,M32-38
-7.05826E+18,M,38,M32-38
-7.73174E+18,M,35,M32-38
-1.45709E+18,M,47,M39+
3.09862E+18,M,31,M29-31
-3.56379E+18,M,25,M23-26
-5.34887E+18,M,25,M23-26
-4.18052E+18,M,36,M32-38
-8.42885E+18,M,28,M27-28
-6.29048E+18,M,44,M39+
6.22395E+18,M,28,M27-28
-4.3707E+18,M,36,M32-38
-6.08383E+18,F,27,F27-28
-1.24635E+18,M,32,M32-38
-6.55273E+15,M,28,M27-28
5.93858E+18,M,48,M39+
-3.23563E+18,M,44,M39+
-4.14421E+18,M,44,M39+
8.84496E+18,M,28,M27-28
4.15626E+18,M,21,M22-
-6.7858E+18,M,28,M27-28
-8.08095E+18,F,44,F43+
6.35495E+18,F,44,F43+
-7.78951E+18,M,25,M23-26
8.24058E+18,M,42,M39+
5.43987E+18,M,35,M32-38
-8.14002E+18,M,38,M32-38
-3.60169E+17,M,38,M32-38
4.04934E+18,M,29,M29-31
5.66085E+18,F,64,F43+
2.34679E+18,M,28,M27-28
-4.92403E+18,M,42,M39+
1.6762E+18,M,42,M39+
4.9228E+18,M,24,M23-26
-6.57145E+18,M,46,M39+
-2.05673E+18,M,32,M32-38
4.04959E+17,M,44,M39+
6.8955E+18,M,44,M39+
-7.88218E+18,M,24,M23-26
5.44691E+18,F,46,F43+
-3.85975E+18,M,30,M29-31
5.66209E+18,F,21,F23-
-4.65067E+18,F,21,F23-
3.80406E+18,M,29,M29-31
-8.26628E+18,M,29,M29-31
5.97332E+18,F,28,F27-28
2.02462E+17,F,28,F27-28
7.32664E+18,M,27,M27-28
-4.14445E+18,M,21,M22-
8.90776E+18,F,23,F23-
-5.26105E+18,F,23,F23-
3.81972E+18,F,23,F23-
4.65002E+18,M,20,M22-
-5.44139E+18,F,34,F33-42
-8.58214E+18,F,25,F24-26
7.76113E+18,M,21,M22-
6.92767E+18,M,26,M23-26
5.98437E+18,M,26,M23-26
2.95952E+18,M,30,M29-31
-2.11472E+18,M,30,M29-31
6.99479E+17,M,27,M27-28
-1.872E+18,F,26,F24-26
-4.87298E+18,M,39,M39+
-4.43086E+18,F,20,F23-
-5.3404E+18,F,20,F23-
1.70484E+18,M,24,M23-26
-4.24636E+18,F,28,F27-28
-8.16555E+18,F,28,F27-28
4.29746E+18,M,29,M29-31
-1.74766E+18,M,27,M27-28
2.27543E+18,M,24,M23-26
3.75234E+18,M,41,M39+
-7.54366E+17,F,25,F24-26
-5.63888E+18,M,28,M27-28
4.81669E+18,F,31,F29-32
5.93669E+17,F,31,F29-32
2.48228E+17,F,28,F27-28
8.56199E+18,M,30,M29-31
-4.48646E+17,M,31,M29-31
-8.88715E+18,F,28,F27-28
-7.15461E+18,F,29,F29-32
-5.35249E+18,F,29,F29-32
6.20376E+18,F,23,F23-
8.21364E+18,F,36,F33-42
-8.01889E+18,M,24,M23-26
7.22237E+18,F,22,F23-
6.12379E+18,M,38,M32-38
8.3693E+18,F,36,F33-42
-7.86142E+18,F,23,F23-
9.1465E+18,M,35,M32-38
-2.48956E+18,M,35,M32-38
-3.27425E+18,M,33,M32-38
-8.34462E+18,M,33,M32-38
-7.46454E+18,M,33,M32-38
-2.99974E+18,F,22,F23-
3.1907E+18,M,29,M29-31
6.70982E+18,M,38,M32-38
6.02198E+18,F,27,F27-28
-6.49482E+18,M,37,M32-38
8.74972E+18,M,34,M32-38
-3.11314E+18,M,37,M32-38
-5.02822E+18,F,27,F27-28
-3.79447E+18,F,34,F33-42
3.14175E+18,M,41,M39+
-4.91761E+18,M,21,M22-
-1.51669E+18,F,43,F43+
4.14296E+18,F,33,F33-42
-4.91742E+18,F,30,F29-32
-7.51644E+18,M,31,M29-31
6.43965E+18,M,28,M27-28
-7.34887E+18,M,31,M29-31
-8.16391E+18,M,31,M29-31
1.60364E+18,M,28,M27-28
-8.00328E+18,M,28,M27-28
-5.20304E+18,M,32,M32-38
-4.81063E+18,M,32,M32-38
8.86241E+18,F,36,F33-42
2.93964E+18,F,46,F43+
8.7536E+18,F,51,F43+
-5.11666E+18,F,51,F43+
-7.64635E+18,M,30,M29-31
-5.18988E+18,M,46,M39+
-4.99637E+18,M,46,M39+
-6.71164E+18,M,34,M32-38
6.20672E+18,F,31,F29-32
3.49399E+18,M,32,M32-38
4.36601E+18,M,24,M23-26
1.38696E+18,M,24,M23-26
-6.33038E+18,M,34,M32-38
-7.86537E+18,M,38,M32-38
-1.85801E+18,M,31,M29-31
-3.22849E+18,F,28,F27-28
-5.60256E+18,F,28,F27-28
-1.45102E+18,F,28,F27-28
7.79066E+18,F,28,F27-28
8.92029E+18,M,28,M27-28
-4.85261E+18,M,31,M29-31
-2.42652E+18,M,31,M29-31
-8.24974E+18,M,41,M39+
2.27092E+18,M,25,M23-26
-1.32E+18,M,31,M29-31
9.13802E+18,F,36,F33-42
-7.31967E+18,F,36,F33-42
2.97825E+18,M,38,M32-38
8.06159E+18,M,38,M32-38
-8.54573E+18,M,26,M23-26
1.47414E+18,M,22,M22-
1.60149E+18,M,33,M32-38
8.65587E+18,M,33,M32-38
3.61199E+18,F,31,F29-32
4.1929E+18,M,27,M27-28
7.0857E+18,M,29,M29-31
-7.04079E+18,M,39,M39+
4.32908E+18,M,35,M32-38
3.45687E+18,M,34,M32-38
-2.96651E+18,F,30,F29-32
2.04054E+18,F,23,F23-
-3.31005E+18,F,32,F29-32
-4.69966E+18,F,46,F43+
-7.54829E+18,M,33,M32-38
-7.9634E+18,M,49,M39+
-7.08223E+18,M,36,M32-38
-6.24289E+18,F,32,F29-32
-2.41513E+18,M,27,M27-28
2.89417E+18,M,21,M22-
2.97763E+18,M,32,M32-38
-2.65743E+18,M,32,M32-38
4.49782E+18,M,32,M32-38
2.46019E+18,M,53,M39+
-5.87236E+18,F,39,F33-42
8.06902E+18,M,53,M39+
4.9489E+18,M,53,M39+
3.14739E+18,M,53,M39+
8.09357E+16,M,53,M39+
-7.94539E+18,M,59,M39+
7.02186E+18,F,25,F24-26
-7.66119E+17,F,45,F43+
-9.0065E+17,F,30,F29-32
-8.763E+18,M,28,M27-28
5.42127E+18,M,28,M27-28
-5.29046E+17,M,28,M27-28
-1.89551E+18,M,31,M29-31
-2.47816E+18,F,24,F24-26
-7.27962E+18,M,42,M39+
5.69261E+18,M,48,M39+
6.56281E+18,M,50,M39+
-7.30614E+18,M,43,M39+
5.70287E+18,M,32,M32-38
6.48861E+18,M,46,M39+
-3.52977E+18,M,38,M32-38
-6.00073E+18,M,24,M23-26
2.35098E+18,M,47,M39+
-6.21175E+17,M,34,M32-38
-4.15387E+18,M,70,M39+
9.21948E+18,F,27,F27-28
-2.38901E+18,M,27,M27-28
6.56534E+18,F,32,F29-32
6.2812E+18,F,39,F33-42
-6.06595E+18,M,21,M22-
6.3915E+18,F,24,F24-26
-3.22729E+18,M,35,M32-38
9.12339E+18,M,32,M32-38
-1.93844E+18,M,21,M22-
5.63674E+18,M,27,M27-28
1.54013E+18,F,67,F43+
2.84453E+18,M,33,M32-38
6.3271E+18,M,30,M29-31
7.50727E+18,M,48,M39+
-5.65124E+17,M,48,M39+
4.41953E+18,F,44,F43+
-5.2844E+18,F,44,F43+
2.06075E+18,F,44,F43+
-8.59327E+18,M,34,M32-38
-6.1418E+18,F,36,F33-42
-6.49246E+18,M,24,M23-26
6.77565E+18,F,24,F24-26
4.25864E+18,F,30,F29-32
3.23564E+18,M,32,M32-38
3.16379E+18,M,33,M32-38
2.82442E+18,M,19,M22-
-4.24993E+18,M,37,M32-38
6.78352E+18,F,29,F29-32
-2.77744E+18,F,29,F29-32
-5.69315E+18,F,29,F29-32
-2.25263E+17,F,29,F29-32
2.72402E+18,F,29,F29-32
-8.44859E+18,M,27,M27-28
3.38283E+17,M,26,M23-26
4.70454E+18,M,33,M32-38
1.97552E+18,F,30,F29-32
7.11678E+18,M,29,M29-31
8.54332E+18,F,33,F33-42
6.82332E+18,M,50,M39+
5.83157E+17,F,34,F33-42
7.29994E+16,F,34,F33-42
7.24453E+18,F,31,F29-32
-7.79921E+18,M,31,M29-31
-4.55526E+18,F,22,F23-
9.02237E+18,F,22,F23-
1.71429E+18,F,48,F43+
-2.14103E+18,M,52,M39+
-3.00729E+18,F,31,F29-32
6.6779E+18,F,31,F29-32
2.13049E+18,M,25,M23-26
-1.79182E+18,M,25,M23-26
8.72485E+18,F,27,F27-28
-2.13591E+18,M,26,M23-26
-5.97778E+18,M,41,M39+
-9.13456E+18,F,29,F29-32
-4.97308E+16,M,31,M29-31
1.45908E+18,M,31,M29-31
7.05086E+18,M,34,M32-38
-5.40175E+18,M,51,M39+
3.60451E+18,M,32,M32-38
-3.22652E+18,M,27,M27-28
-2.09469E+18,M,22,M22-
-4.46694E+18,M,32,M32-38
-6.78572E+18,M,38,M32-38
3.50031E+18,F,33,F33-42
-1.11745E+18,M,35,M32-38
8.11894E+18,M,25,M23-26
-1.3574E+18,F,39,F33-42
-3.18709E+17,F,38,F33-42
7.61034E+18,M,24,M23-26
2.32054E+18,M,24,M23-26
6.34808E+18,M,24,M23-26
1.44493E+18,M,39,M39+
3.74491E+18,M,46,M39+
5.25543E+18,M,27,M27-28
-7.65084E+18,M,26,M23-26
-6.79796E+18,M,30,M29-31
-8.14697E+18,M,25,M23-26
-9.15325E+18,M,25,M23-26
-3.60234E+17,F,39,F33-42
1.66339E+18,M,27,M27-28
5.80558E+18,M,42,M39+
6.44876E+18,M,36,M32-38
-9.54681E+17,F,24,F24-26
3.65435E+18,F,24,F24-26
7.56241E+18,F,45,F43+
-2.87457E+18,F,26,F24-26
-6.65214E+18,M,31,M29-31
-3.17451E+18,F,29,F29-32
8.97232E+18,M,35,M32-38
-4.93534E+18,M,35,M32-38
8.277E+18,M,39,M39+
3.40299E+18,F,32,F29-32
5.10814E+18,M,45,M39+
3.47145E+18,M,31,M29-31
-6.79158E+18,F,29,F29-32
-2.09459E+18,M,29,M29-31
-2.68355E+18,F,47,F43+
-4.21429E+18,M,29,M29-31
1.45974E+18,M,29,M29-31
1.46901E+18,M,24,M23-26
5.29785E+18,F,45,F43+
7.23127E+18,M,22,M22-
7.0083E+17,M,25,M23-26
-6.37891E+17,M,25,M23-26
8.66892E+18,F,28,F27-28
1.88852E+18,F,28,F27-28
2.82514E+18,F,42,F33-42
4.44947E+18,F,30,F29-32
-8.36613E+18,M,22,M22-
-3.53455E+18,F,47,F43+
1.50246E+18,F,44,F43+
-4.77188E+18,M,40,M39+
-5.68512E+18,M,36,M32-38
8.16104E+18,M,52,M39+
-4.19879E+18,M,37,M32-38
-8.47531E+18,M,37,M32-38
1.31932E+18,F,29,F29-32
-1.17764E+18,F,29,F29-32
4.18976E+18,F,29,F29-32
-3.07794E+18,F,28,F27-28
-3.2441E+18,F,28,F27-28
-4.67179E+18,F,28,F27-28
1.1398E+17,M,30,M29-31
5.03143E+17,M,30,M29-31
-6.04291E+18,M,27,M27-28
-3.45871E+17,M,35,M32-38
9.10672E+18,M,29,M29-31
7.28403E+18,F,37,F33-42
4.03261E+18,M,32,M32-38
8.35259E+18,M,34,M32-38
7.70538E+18,M,33,M32-38
1.12387E+18,M,27,M27-28
7.92173E+18,M,42,M39+
2.39991E+18,M,42,M39+
6.2774E+18,M,26,M23-26
5.4411E+18,M,30,M29-31
-4.00585E+18,M,63,M39+
-1.7979E+17,M,26,M23-26
7.8666E+18,M,35,M32-38
-5.49356E+18,M,29,M29-31
9.20301E+18,M,27,M27-28
2.35504E+18,M,38,M32-38
1.41117E+18,M,25,M23-26
-6.98593E+18,M,34,M32-38
7.3527E+18,F,27,F27-28
8.84874E+18,M,30,M29-31
-6.58382E+18,M,21,M22-
-7.7714E+18,M,21,M22-
-7.69188E+18,M,35,M32-38
2.46468E+18,M,35,M32-38
6.60428E+18,M,42,M39+
-2.06674E+16,M,30,M29-31
5.58106E+18,M,29,M29-31
-8.58761E+18,F,27,F27-28
5.4137E+18,M,45,M39+
3.50456E+18,F,60,F43+
6.86311E+18,M,33,M32-38
3.67591E+18,M,33,M32-38
-5.31775E+18,M,37,M32-38
6.42329E+18,M,27,M27-28
8.31267E+18,M,26,M23-26
-8.16466E+18,F,34,F33-42
-1.76E+18,M,26,M23-26
3.0366E+18,M,38,M32-38
3.60326E+18,F,42,F33-42
-6.29498E+18,F,48,F43+
-1.67571E+17,M,39,M39+
-1.04566E+18,F,27,F27-28
1.25592E+18,M,47,M39+
-9.21164E+18,M,31,M29-31
6.14051E+18,F,22,F23-
3.67927E+18,M,29,M29-31
1.18726E+18,M,29,M29-31
-6.55444E+17,M,47,M39+
2.51085E+18,M,36,M32-38
-7.70285E+18,M,24,M23-26
-7.34417E+18,M,24,M23-26
-1.17697E+18,M,29,M29-31
6.42764E+18,M,20,M22-
-4.27749E+18,M,47,M39+
