,Original,Converted
0,大器2,Generosity 2
1,荣耀4A,4A glory
2,Galaxy Win,Galaxy Win
3,5892,5892
4,HN3-U01,And Hna-01
5,R819T,R819T
6,U9508,Ock 08
7,Y15,Y15
8,A378t,Oahoudh
9,A690,A690
10,King 7s,King 7s
11,T5,T5
12,Galaxy S Advance,Galaxy S Advance
13,C8818,C8818
14,K88L,K88L
15,Xperia TX,Xperia TX
16,R2017,Revelation 017
17,G610T,G610T
18,S880i,S880i
19,7295+,7295+
20,X5L,X5L
21,Z5 Mini,Z5 Mini
22,Xplay3S,Xplay3S
23,G11,G11
24,超级手机1 Pro,Super phone 1 Pro
25,乐檬K3,Le lemon K3
26,2016版 Galaxy A9,Version 2016 Galaxy A9
27,MI 2A,MI 2A
28,Ascend G6,Ascend G6
29,U817,Od 17
30,A3900,Aas 00
31,Galaxy A3,Galaxy A3
32,Galaxy On5,Galaxy On5
33,MT1-U06,MT1-U06
34,T1,T1
35,M8St,M8St
36,Galaxy S6,Galaxy S6
37,G750-T20,G750-T20
38,S5830I,Skhadda 0 j
39,A688t,A688t
40,Galaxy On7,Galaxy On7
41,MI pad,MI drop
42,V955,Vck
43,Find 5,Find 5
44,A820,A820
45,A830,I put 0
46,N919,Text 19
47,Y22L,Y22L
48,A3000-H,A3000-H
49,8750,8750
50,Galaxy Grand,Galaxy Grand
51,A2800d,00 d overhangs
52,7270-W00,7270-W00
53,BF A500,BF A500
54,G660-L075,G660-L075
55,R821T,Rde 1 v
56,红米note,Red rice note
57,8712,8712
58,A330e,Aaa 0 j
59,Y28L,Yakl
60,Y80D,Y80D
61,I9118,I9118
62,XT910,XT910
63,UIMI4,UIMI4
64,F301,F301
65,GN715,15 misdemeanors
66,麦芒3,3-to-head
67,X5Pro,X5Pro
68,I8268,I8268
69,SHV-E210L,BC-E210L
70,Y320,Y320
71,Galaxy Core 2,Galaxy Core 2
72,7298D,Hakqdd
73,红米3,3 red rice
74,9190l,9190l
75,Y11IW,Y11IW
76,Galaxy Alpha,Galaxy Alpha
77,M1,M1
78,Z7 Mini,Z7 Mini
79,G606,G606
80,Mate 7 青春版,Mate 7 youth version
81,Galaxy J5,Galaxy J5
82,Galaxy Note 2,Galaxy Note 2
83,M512,Brain 12
84,One,One
85,A388t,Bitten
86,G7200,G7200
87,C8813Q,Sdd 13 s
88,Ascend G700T,Ascend G700T
89,Y35,Aakh
90,Xperia Z2,Xperia Z2
91,M5,M5
92,X5M,X5M
93,A858t,A858t
94,U930,Situation 0
95,5956,5956
96,Y300,Y300
97,G717C,17 Q Jeh
98,U705T,And h 05 t
99,T35,Takh
100,大神Note,Okami Note
101,大观4,Grand View 4
102,Y923,Aha
103,E5,E5
104,606w,606w
105,2016版 Galaxy A7,Version 2016 Galaxy A7
106,A658t,A658t
107,Mate 2,Mate 2
108,G525,Jkikh
109,XL,XL
110,Z9 Max,Z9 Max
111,T328w,Taaqo
112,8720L,8720L
113,N1 Mini,N1 Mini
114,Ascend P6,Ascend P6
115,E6,E6
116,R831S,R831S
117,A390t,Aas v 0
118,Find 7,Find 7
119,3007,3007
120,L5Pro,L5Pro
121,A385e,Oedkh
122,S7,true
123,Q802T,Q802T
124,荣耀3X,Glory 3X
125,Galaxy Tab 3 7.0,Galaxy Tab 3 7.0
126,Butterfly,Butterfly
127,G620-L75,Jte0-Lhkh
128,I8258,Adhakhadd
129,R6007,Rt 007
130,Y22IL,It said
131,Moto G,Moto G
132,D800,Dth00
133,Xperia Z5 Premium,Xperia Z5 Premium
134,5200S,5200S
135,TALK 9X,TALK 9X
136,S7568,Sahkhtd
137,Touch 2,Touch 2
138,P3,P3
139,X10i,X10i
140,A269i,Areas
141,S7898,Shaksd
142,E6T,E6T
143,7105,7105
144,Nexus 5,Nexus 5
145,Nexus S,Nexus S
146,Y11IT,Y11IT
147,大神F2,Okami F2
148,Q505T,Q505T
149,U59GT,U59GT
150,T2,T2
151,A6800,A6800
152,Galaxy Mega 6.3,Galaxy Mega 6.3
153,红米note增强版,Red rice note enhanced version
154,I9050,I9050
155,MX4 Pro,MX4 Pro
156,Galaxy W,Galaxy W
157,A31,Sector 1
158,A760,A760
159,A850,A850
160,Galaxy Mega 2,Galaxy Mega 2
161,TALK 7X四核,TALK 7X quad-core
162,Desire 816,Desire 816
163,Galaxy S4 Zoom,Galaxy S4 Zoom
164,S868t,S868t
165,Y628,Y628
166,2,2
167,R1S,R1S
168,S7566,Sahkht
169,Galaxy Premier,Galaxy Premier
170,Y220T,Y220T
171,超级手机Max,Super Max phone
172,Galaxy Tab P1000,Galaxy Tab P1000
173,X5V,X5V
174,MX3,Maxa
175,IVO 6655,IVO 6655
176,C8817E,Sdd 17 j
177,Blade S6,Blade S6
178,MM1101,MM1101
179,G610S,G610S
180,Galaxy Grand Neo Plus,Galaxy Grand Neo More
181,MX5,MX5
182,Galaxy Grand 2,Galaxy Grand 2
183,A890e,A890e
184,M032,M032
185,S7T,Health
186,A750e,Ahkh 0 j
187,A3,I
188,ZenFone Max,ZenFone Max
189,M3,With
190,L108,108's
191,X3L,Ksal
192,Y913,13 allocating
193,Y600-U00,Y600-U00
194,乐檬K3 Note,Le lemon K3 Note
195,IdeaTab A1010-T,IdeaTab A1010-T
196,Y610-U00,Y610-U00
197,K900,K900
198,D500,D500
199,Y635,Atakh
200,T329t,Taaqh
201,Y13iL,J 13 Yale
202,S5.5L,Sch.khal
203,B9388,Besak
204,Y51,Y51
205,S3,Cs
206,Galaxy Trend 2,Galaxy Trend 2
207,G610C,G610C
208,天鉴W808,Days Kam W808
209,R830,R830
210,idol3,Adla
211,A656,A656
212,5890,5890
213,9976D,Qahtd
214,红牛V5,Red Bull V5
215,A320t,Aae 0 T
216,W2014,W2014
217,Y37,Aah
218,R3,R3
219,K860i,K860i
220,A880,A880
221,三星big foot,Samsung big foot
222,A8-50,A8-50
223,M201S,M201S
224,Xperia arc S,Xperia arc S
225,C8815,Sdd 15
226,L8,L8
227,5950,5950
228,Galaxy Grand 2 LTE,Galaxy Grand 2 LTE
229,A2580,Akhadd 0
230,G2,G2
231,Galaxy A8,Galaxy A8
232,X907,Kss 07
233,小辣椒 M2,Peppers M2
234,M6,MB
235,魅蓝2,Blue Charm 2
236,A789,achieve
237,R823T,Breast feeding
238,T708,The Open 08
239,荣耀畅玩5X,Play 5X glory
240,星星2号,No. 2 stars
241,S2y,quench
242,GN151,GN151
243,Galaxy Core Lite,Galaxy Core Lite
244,8089,8089
245,8085,8085
246,Two,Two
247,荣耀畅玩4X,Glory Play 4X
248,795+,795+
249,青春版,Youth version
250,A33,Acts
251,8705,8705
252,ELIFE S5.5,Thousands Sch.kh
253,A11,A11
254,Y325,Aakkh
255,Moto X,Moto X
256,Galaxy S2 Plus,More Galaxy S2
257,One ME,One ME
