device_id,phone_brand,device_model
1.87778E+18,vivo,Y13
-3.76609E+18,??,V183
-6.23894E+18,OPPO,R7s
8.9732E+18,??,A368t
-2.01553E+18,??,??Note2
-8.89695E+18,??,??Note3
-2.63417E+18,??,S5.1
-2.52639E+18,??,Galaxy Grand Prime
1.42793E+18,??,MI 2S
2.86648E+18,??,Galaxy Note 2
-1.78827E+18,OPPO,R1C
3.88805E+18,??,??F1Plus
-8.29005E+18,??,note???
7.56685E+18,??,Galaxy Mega 2
7.70276E+18,?? ,??1?
2.21032E+18,??,Galaxy S4
6.41384E+18,??,MI 3
-7.15718E+18,OPPO,Find 7
3.77393E+18,??,Galaxy S4
-2.21376E+17,??,C8816
-1.52978E+18,??,??note
4.85063E+18,??,MI 2S
-8.70571E+18,vivo,X6 L
-8.23788E+18,??,Galaxy Win
9.16957E+18,??,???
-2.65998E+18,??,MX3
7.28409E+18,vivo,Y35
4.86146E+18,??,Galaxy S4
6.32864E+18,??,G520-5000
7.04172E+18,??,??4A
-1.23691E+18,??,??Note 2
8.16045E+18,??,Y560-CL00
4.77489E+18,??,??7i
3.84962E+18,OPPO,R7s
-4.67302E+18,OPPO,3000
5.47045E+18,??,????4C
2.34358E+18,??,????4C
9.12358E+18,??,C730Lw
-7.4335E+18,??,??2A
-3.20491E+18,????,A1
2.44774E+18,??,??Note2
-4.56598E+18,??,??4A
6.38848E+18,HTC,One
-7.55118E+18,??,Galaxy J7
7.28298E+18,OPPO,R3
-7.5766E+18,??,MX2
-5.3597E+18,??,????5
-2.19593E+18,??,??2A
-1.92353E+17,??,??7
-6.35622E+18,??,??Note3
5.6585E+18,??,??Note3
5.36241E+18,??,MI 4
-5.21377E+18,HTC,One M8
7.4298E+18,??,??F1Plus
3.55524E+18,??,??1S
-4.81239E+18,??,??4
5.71712E+18,??,Galaxy S6 Edge
3.74332E+18,??,A3800d
4.29542E+18,??,P780
9.18626E+16,??,Ascend G7
5.04092E+18,??,??6
-2.9821E+17,vivo,Xperia SL
2.86738E+18,??,??note
5.19152E+18,vivo,Y17T
6.69771E+18,??,??2A
-1.7168E+18,??,????4X
2.49183E+18,??,??Note2
4.58783E+18,??,MI 4
-8.49383E+18,??,Ascend P7
-6.91792E+18,??,Galaxy Grand 2
-5.30907E+18,??,??3X???
-3.8702E+18,??,??3X???
1.69537E+18,??,MI 2S
-2.78069E+17,??,??X2
-2.89389E+18,??,??note
-9.1205E+17,??,MI 2S
2.9249E+17,??,Ascend P8
-4.36056E+18,??,Ascend P8
4.21267E+18,??,note???
4.63934E+18,OPPO,R2017
-5.71801E+18,??,??NOTE
8.91556E+18,??,Mate 2
-4.32405E+18,HTC,M8
8.26707E+18,??,T87+
-6.81102E+18,vivo,X710L
-3.62759E+18,??,??2A
-1.3313E+18,??,A890e
-4.91829E+18,OPPO,R7
4.07119E+18,vivo,X5M
-7.41778E+18,??,MX5
-8.51147E+18,??,Galaxy Mega 5.8
1.72126E+18,??,??note
6.43664E+18,???,L81
-6.94725E+18,vivo,Xperia Z1
4.65318E+18,??,??6 Plus
-1.44846E+18,vivo,X5Max+
-1.09532E+18,??,Galaxy J5
7.15948E+18,??,Galaxy Note 4
-7.55102E+18,??,????4X
8.91371E+18,OPPO,A31
-8.53505E+18,??,GN706L
-2.01914E+17,LG,G3
3.54261E+18,??,??Note2
-5.67137E+18,??,??4A
-1.00941E+17,??,??3X???
8.90082E+18,OPPO,A31
-9.18093E+18,??,P8 Lite
-8.8342E+18,HTC,Sensation XE with Beats Audio Z715e
7.26482E+18,??,A880
-7.44295E+18,??,??+
3.0369E+18,vivo,X5L
-4.66483E+18,??,8720L
7.21763E+18,???,IVO 6655
6.1213E+17,OPPO,R7 Plus
-9.58885E+17,??,????4
6.58362E+18,??,MX4
4.53831E+17,??,Y635-TL00
6.50121E+18,OPPO,R7 Plus
6.02257E+18,??,??NOTE
-5.30254E+18,??,Galaxy Note 4
6.29047E+18,??,Galaxy S3
1.2453E+18,vivo,X3L
3.49001E+18,OPPO,R7 Plus
-9.42278E+17,??,3
6.63711E+16,??,??NOTE
-9.36229E+17,OPPO,R807
-2.05293E+18,??,????A8
2.49533E+18,HTC,One X
2.8192E+17,??,??6 Plus
7.1497E+18,??,??note
-7.76498E+18,OPPO,R6007
3.36129E+18,??,Galaxy S2 Plus
1.25155E+18,??,R1
8.24353E+18,??,MI 4
3.23031E+18,??,MI 4
-5.85764E+18,??,MI 4
-2.94176E+16,??,??3C
-4.62573E+18,??,??note
-1.88804E+18,OPPO,A31
-8.59817E+18,??,??4C
8.43265E+18,OPPO,R823T
4.0882E+18,??,??note
2.05976E+18,??,Mate 7
-2.13725E+18,??,Galaxy Note 2
3.11207E+18,??,MI 2
-9.17731E+18,??,??Note2
1.17317E+18,??,??3X???
9.14765E+18,??,MI 2S
-8.41502E+18,??,??Note2
-4.76505E+18,??,F2
-2.91091E+18,??,????4C
5.17855E+18,OPPO,Find 7
9.66222E+17,??,MI 2S
-7.3908E+17,??,Galaxy S5
-7.69972E+18,vivo,Xperia TX
6.45754E+18,OPPO,A31
8.02817E+17,??,Galaxy S5
-5.84985E+18,??,note???
-3.22278E+18,??,Galaxy Trend DUOS 2
-3.87981E+18,ZUK,Z1
8.56527E+18,??,??3X???
-8.65167E+18,??,MI 2S
1.22856E+18,??,Ascend P8
1.70274E+18,vivo,Y11IT
5.36156E+18,??,??note???
-2.99107E+18,??,Galaxy S4
-1.14998E+18,OPPO,A31
1.96943E+18,??,MI 3
-9.18066E+18,??,??W900
-7.07338E+18,??,Ascend G700T
1.60898E+18,??,Galaxy Note 3
-4.24486E+18,??,Galaxy R
-7.93095E+18,??,F301
-4.33834E+18,??,????5X
4.48634E+18,??,??note
-3.18365E+18,OPPO,N1 Mini
8.39463E+18,vivo,X5M
6.15457E+18,OPPO,Find 5
7.02871E+18,??,??note
-8.93136E+18,??,???
-3.10514E+18,??,??note
-7.51281E+18,??,????4C
